feature,data_type,unique_values,mean,std,min,max
Q121011,float64,2,5.9701492537313435e-05,0.007726458818484865,0.0,1.0
Q12108,float64,2,0.0011343283582089553,0.03366075113572488,0.0,1.0
R034,int64,2,0.09321791044776119,0.2907381434418677,0.0,1.0
P00402,float64,2,0.1560995024875622,0.3629503714298066,0.0,1.0
Q080,int64,97,1.5533930348258707,8.9120424217525,0.0,98.0
Q074,int64,2,0.018029850746268658,0.13305955694869676,0.0,1.0
Q084,int64,2,0.07090149253731343,0.2566607353712037,0.0,1.0
R010,int64,3,69.05585273631841,45.443470118686704,0.0,99.0
W00102,float64,953,9.449317412935326,23.87822739470318,0.0,178.5
Q00201,float64,2,0.05758009950248756,0.23294816509958655,0.0,1.0
P035,int64,8,0.3797054726368159,1.254640409251786,0.0,7.0
W00103,float64,947,9.766620099502491,24.193450677918037,0.0,178.0
Q092,int64,2,0.03874626865671642,0.192990008967499,0.0,1.0
W00203,float64,483,23.098777313432837,55.8138836307442,0.0,193.0
P027,int64,2,0.0912318407960199,0.2879390942660423,0.0,1.0
P00104,float64,115,12.614244776119403,26.910775249117968,0.0,150.0
Q06306,float64,2,0.010658706467661691,0.10268953410550674,0.0,1.0
Q03001,float64,2,0.01787860696517413,0.13251049869672415,0.0,1.0
Q121014,float64,2,0.0002109452736318408,0.014522452104682138,0.0,1.0
Q070,int64,94,0.32452139303482586,4.348537002667502,0.0,96.0
W00101,float64,962,9.462184278606967,23.90467815402218,0.0,178.5
Q12105,float64,2,0.00037412935323383087,0.019338843527516095,0.0,1.0
Q125,int64,91,0.18683781094527363,2.9939343231735607,0.0,92.0
S065,float64,2,0.14909850746268657,0.3561862539247219,0.0,1.0
P053,int64,72,1.534881592039801,5.304125093813999,0.0,78.0
J007,int64,2,0.2506905472636816,0.43341151855975774,0.0,1.0
W00201,float64,480,22.341055920398013,55.050217664644094,0.0,196.0
R025,int64,18,4.10244776119403,6.099713459098637,0.0,25.0
Q121010,float64,2,0.00013134328358208955,0.011459779893903045,0.0,1.0
Q121012,float64,2,0.00019104477611940298,0.013820601949549762,0.0,1.0
P01101,float64,8,0.5804855721393035,1.4888816966376839,0.0,7.0
Q124,int64,2,0.0047880597014925376,0.06903008874086117,0.0,1.0
Q09301,float64,94,0.9561671641791045,6.447920670555079,0.0,96.0
Q079,int64,2,0.03415323383084577,0.18162302095541782,0.0,1.0
R028,int64,2,0.09978109452736318,0.29970850040574354,0.0,1.0
P00103,float64,359,11.631863084577112,26.099164881193268,0.0,178.0
P00404,float64,64,29.890670646766168,62.267976776769856,0.0,195.0
Q128,int64,2,0.026145273631840795,0.15956753942783297,0.0,1.0
Q075,int64,91,0.32941293532338306,3.5166410393570438,0.0,94.0
Q060,int64,2,0.05494925373134328,0.22788163579463314,0.0,1.0
Q111,int64,91,0.5149174129353233,4.58507360355263,0.0,92.0
Q003,int64,96,3.7899104477611942,13.25012388771792,0.0,98.0
Q121015,float64,2,0.00046965174129353233,0.021666403414633193,0.0,1.0
Q085,int64,93,2.619207960199005,10.503010781916439,0.0,94.0
R012,int64,76,1.2021094527363183,7.308046213647939,0.0,86.0
Q064,int64,96,0.7431960199004976,6.346227701760729,0.0,96.0
J014,int64,2,0.18817512437810946,0.3908527279765306,0.0,1.0
Q121013,float64,2,4.7761194029850745e-05,0.0069107961179720526,0.0,1.0
P00403,float64,70,24.417548258706468,57.53278770838473,0.0,195.0
W00202,float64,477,22.313689950248758,55.02789066146313,0.0,194.8
Q11701,float64,88,0.10342686567164179,2.3461503167987314,0.0,94.0
Q12107,float64,2,0.0019144278606965173,0.04371236017099913,0.0,1.0
Q12104,float64,2,0.00015522388059701492,0.012457945410739186,0.0,1.0
P05801,int64,38,0.5917532338308458,3.671729184073481,0.0,80.0
Q12102,float64,2,0.0010706467661691541,0.03270328329704102,0.0,1.0
Q11006,float64,2,0.013930348258706468,0.11720216861530663,0.0,1.0
P015,int64,8,0.3680119402985075,0.9907401997518162,0.0,7.0
Q12106,float64,2,0.0001592039800995025,0.012616626638747273,0.0,1.0
P034,int64,2,0.1058228855721393,0.3076114092119493,0.0,1.0
Q031,int64,94,1.296760199004975,8.303024493123207,0.0,97.0
P00901,float64,8,0.8792318407960199,2.098783288025654,0.0,7.0
C008,int64,110,34.93830049751244,21.54868955213435,0.0,112.0
Q061,int64,97,2.5913592039800997,11.398098358889415,0.0,97.0
R031,int64,2,0.1589452736318408,0.36562577273821983,0.0,1.0
Q11604,float64,2,0.0028497512437810945,0.053307048986465856,0.0,1.0
P013,int64,8,0.9550766169154229,1.696609235663709,0.0,7.0
Q120,int64,2,0.008314427860696517,0.09080380480620553,0.0,1.0
P00102,float64,2,0.17620696517412934,0.380996913824924,0.0,1.0
Q068,int64,2,0.006324378109452736,0.07927424148826698,0.0,1.0
R00101_2,bool,2,,,,
R00101_3,bool,2,,,,
R00101_4,bool,2,,,,
R00101_5,bool,2,,,,
R00101_<None>,bool,2,,,,
J02702_02,bool,2,,,,
J02702_03,bool,2,,,,
J02702_04,bool,2,,,,
J02702_05,bool,2,,,,
J02702_06,bool,2,,,,
J02702_07,bool,2,,,,
J02702_08,bool,2,,,,
J02702_09,bool,2,,,,
J02702_10,bool,2,,,,
J02702_11,bool,2,,,,
J02702_12,bool,2,,,,
J02702_13,bool,2,,,,
J02702_14,bool,2,,,,
J02702_15,bool,2,,,,
J02702_<None>,bool,2,,,,
Q12201_01,bool,2,,,,
Q12201_02,bool,2,,,,
Q12201_04,bool,2,,,,
Q12201_05,bool,2,,,,
Q12201_06,bool,2,,,,
Q12201_08,bool,2,,,,
Q12201_10,bool,2,,,,
Q12201_12,bool,2,,,,
Q12201_14,bool,2,,,,
Q12201_15,bool,2,,,,
Q12201_16,bool,2,,,,
Q12201_17,bool,2,,,,
Q12201_18,bool,2,,,,
Q12201_19,bool,2,,,,
Q12201_20,bool,2,,,,
Q12201_21,bool,2,,,,
Q12201_22,bool,2,,,,
Q12201_23,bool,2,,,,
Q12201_24,bool,2,,,,
Q12201_25,bool,2,,,,
Q12201_26,bool,2,,,,
Q12201_27,bool,2,,,,
Q12201_28,bool,2,,,,
Q12201_29,bool,2,,,,
Q12201_30,bool,2,,,,
Q12201_31,bool,2,,,,
Q12201_32,bool,2,,,,
Q12201_33,bool,2,,,,
Q12201_34,bool,2,,,,
Q12201_35,bool,2,,,,
Q12201_36,bool,2,,,,
Q12201_37,bool,2,,,,
Q12201_38,bool,2,,,,
Q12201_39,bool,2,,,,
Q12201_40,bool,2,,,,
Q12201_41,bool,2,,,,
Q12201_42,bool,2,,,,
Q12201_43,bool,2,,,,
Q12201_44,bool,2,,,,
Q12201_45,bool,2,,,,
Q12201_46,bool,2,,,,
Q12201_47,bool,2,,,,
Q12201_48,bool,2,,,,
Q12201_49,bool,2,,,,
Q12201_50,bool,2,,,,
Q12201_51,bool,2,,,,
Q12201_52,bool,2,,,,
Q12201_53,bool,2,,,,
Q12201_54,bool,2,,,,
Q12201_55,bool,2,,,,
Q12201_56,bool,2,,,,
Q12201_57,bool,2,,,,
Q12201_58,bool,2,,,,
Q12201_59,bool,2,,,,
Q12201_60,bool,2,,,,
Q12201_61,bool,2,,,,
Q12201_62,bool,2,,,,
Q12201_63,bool,2,,,,
Q12201_64,bool,2,,,,
Q12201_65,bool,2,,,,
Q12201_66,bool,2,,,,
Q12201_67,bool,2,,,,
Q12201_68,bool,2,,,,
Q12201_69,bool,2,,,,
Q12201_70,bool,2,,,,
Q12201_71,bool,2,,,,
Q12201_72,bool,2,,,,
Q12201_73,bool,2,,,,
Q12201_74,bool,2,,,,
Q12201_75,bool,2,,,,
Q12201_76,bool,2,,,,
Q12201_77,bool,2,,,,
Q12201_78,bool,2,,,,
Q12201_79,bool,2,,,,
Q12201_80,bool,2,,,,
Q12201_81,bool,2,,,,
Q12201_82,bool,2,,,,
Q12201_83,bool,2,,,,
Q12201_84,bool,2,,,,
Q12201_85,bool,2,,,,
Q12201_87,bool,2,,,,
Q12201_89,bool,2,,,,
Q12201_90,bool,2,,,,
Q12201_94,bool,2,,,,
Q12201_<None>,bool,2,,,,
H003_2,bool,2,,,,
H003_3,bool,2,,,,
H003_4,bool,2,,,,
H003_5,bool,2,,,,
H003_6,bool,2,,,,
H003_7,bool,2,,,,
H003_8,bool,2,,,,
H003_<None>,bool,2,,,,
J01502_02,bool,2,,,,
J01502_03,bool,2,,,,
J01502_04,bool,2,,,,
J01502_05,bool,2,,,,
J01502_06,bool,2,,,,
J01502_07,bool,2,,,,
J01502_08,bool,2,,,,
J01502_09,bool,2,,,,
J01502_10,bool,2,,,,
J01502_11,bool,2,,,,
J01502_12,bool,2,,,,
J01502_<None>,bool,2,,,,
J01101_2,bool,2,,,,
J01101_3,bool,2,,,,
J01101_4,bool,2,,,,
J01101_5,bool,2,,,,
C009_2,bool,2,,,,
C009_3,bool,2,,,,
C009_4,bool,2,,,,
C009_5,bool,2,,,,
C009_9,bool,2,,,,
J039_2,bool,2,,,,
J039_3,bool,2,,,,
J039_4,bool,2,,,,
J039_5,bool,2,,,,
J039_6,bool,2,,,,
J039_7,bool,2,,,,
J039_<None>,bool,2,,,,
H001_2,bool,2,,,,
H001_3,bool,2,,,,
H001_4,bool,2,,,,
H001_5,bool,2,,,,
H001_<None>,bool,2,,,,
J00101_2,bool,2,,,,
J00101_3,bool,2,,,,
J00101_4,bool,2,,,,
J00101_5,bool,2,,,,
N001_2,bool,2,,,,
N001_3,bool,2,,,,
N001_4,bool,2,,,,
N001_5,bool,2,,,,
N001_<None>,bool,2,,,,
R037_2,bool,2,,,,
R037_3,bool,2,,,,
R037_<None>,bool,2,,,,
Y002_2,bool,2,,,,
Y002_3,bool,2,,,,
Y002_<None>,bool,2,,,,
M01601_2,bool,2,,,,
M01601_3,bool,2,,,,
M01601_4,bool,2,,,,
M01601_5,bool,2,,,,
M01601_6,bool,2,,,,
M01601_<None>,bool,2,,,,
W001_2,bool,2,,,,
W001_3,bool,2,,,,
W001_4,bool,2,,,,
W001_9,bool,2,,,,
W001_<None>,bool,2,,,,
J001_2,bool,2,,,,
J001_3,bool,2,,,,
J001_4,bool,2,,,,
J001_5,bool,2,,,,
N00101_2,bool,2,,,,
N00101_3,bool,2,,,,
N00101_4,bool,2,,,,
N00101_5,bool,2,,,,
N00101_<None>,bool,2,,,,
P052_2,bool,2,,,,
P052_3,bool,2,,,,
P052_<None>,bool,2,,,,
R011_2,bool,2,,,,
R011_3,bool,2,,,,
R011_4,bool,2,,,,
R011_5,bool,2,,,,
R011_6,bool,2,,,,
R011_7,bool,2,,,,
R011_<None>,bool,2,,,,
